,t вып-обр,t обработка,t под током,t продувка,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,расход газ Ar,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,ферспл CaC2,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2,химшлак последний Al2O3,химшлак первый Al2O3_1,136 RE,54E1,60E1,UIC54,НЕТ,ОР50,ОР65,Р50,Р65,Рельсы трамвайные,Шар заг d шара 100 мм 2 гр.,"Шар заг d шара 80-100 мм 2,3 гр.",Шар заг d шара 80-100 мм 4 гр.,Шары мелющие d 80-100 мм,Швеллер 40У,900А,G2HH,R260,R350HT,НХ,С255,Ш2.2,Ш2Л,Э73Ф,Э76,Э76Ф,Э76ХАФ,Э76ХФ,Э90ХАФ,сыпуч известь РП,химшлак первый SiO2_1
463,43.0,44.1666667,21.6833333,44.1666667,0.481645,0.196138,0.20118450000000002,0.251281,1563.0,1588.0,14.163538899999999,13769.100691799998,113.9,1.0,20.545,0.1,0.46399999999999997,0.03,0.303,0.307,0.349,4976.0,0.001,0.45,0.524,0.11,0.223,0.008,0.011000000000000001,0.151,0.008,0.03,0.382,0.002,0.002,0.003,0.8320000000000001,0.0005,0.6920000000000001,0.11,0.409,0.018000000000000002,0.015,0.16899999999999998,0.009000000000000001,0.021,0.597,0.003,0.004,49.1,1.5,13.3,0.61,1.8,56.2,0.4,7.8,0.07,2.2,26.0,5.7,3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.379,26.8
589,18.0,42.0166667,20.0166667,41.85,0.339285,0.07506,0.066049,0.06894600000000001,1577.0,1590.0,8.060323200000001,12550.541215700001,110.8,1.0,11.224,0.05,0.359,0.02,0.079,0.10099999999999999,0.135,4187.0,0.001,0.525,0.35,0.11900000000000001,0.74,0.008,0.008,0.08,0.011000000000000001,0.024,0.519,0.002,0.003,0.003,0.769,0.00031967288191034744,0.415,0.121,0.7979999999999999,0.006999999999999999,0.009000000000000001,0.081,0.012,0.017,0.575,0.003,0.038,58.6,0.3,13.1,0.23,2.3,54.8,0.8,6.1,0.09,2.4,23.2,3.2,2.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,25.6
1029,9.0,43.85,18.95,43.85,0.43396,0.11799809230239361,0.17565799999999998,0.08960599999999999,1586.0,1596.0,10.810281800000002,12012.6649077,113.4,1.0,15.770999999999999,0.05,0.486,0.02,0.066,0.265,0.20858067856035825,3794.0,0.001,0.425,0.071,0.09,0.736,0.005,0.01,0.057999999999999996,0.011000000000000001,0.019,0.245,0.001,0.002,0.002,0.755,0.0002,0.071,0.09,0.88,0.004,0.013000000000000001,0.057,0.012,0.017,0.322,0.002,0.037000000000000005,49.1,0.6,10.6,0.18,2.4,54.8,0.6,11.6,0.16,2.1,26.1,4.7,4.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,20.4
1036,7.0,46.716666700000005,19.216666699999998,46.716666700000005,0.54887,0.11799809230239361,0.19913699999999998,0.087354,1607.0,1594.0,9.288333900000001,11908.4128361,115.9,1.0,14.464,0.05,0.627,0.02,0.054000000000000006,0.3,0.20858067856035825,3814.0,0.001,0.348,0.065,0.096,0.6890000000000001,0.005,0.01,0.062,0.008,0.021,0.226,0.001,0.001,0.003,0.77,0.0002,0.066,0.095,0.857,0.004,0.012,0.062,0.009000000000000001,0.012,0.306,0.002,0.036000000000000004,54.0,0.4,10.9,0.25,2.3,51.9,0.5,10.3,0.15,2.1,24.2,5.4,4.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,23.8
1345,26.0,42.05,19.8833333,42.05,0.40265500000000004,0.168487,0.176548,0.153988,1565.0,1588.0,18.348157,13609.3880972,116.9,1.0,25.718000000000004,0.05,0.41700000000000004,0.02,0.16399999999999998,0.266,0.289,4510.0,0.002,0.452,0.28,0.096,0.642,0.006,0.009000000000000001,0.065,0.006999999999999999,0.018000000000000002,0.434,0.002,0.002,0.003,0.7709999999999999,0.0003,0.419,0.09699999999999999,0.8029999999999999,0.006,0.012,0.066,0.008,0.013999999999999999,0.5710000000000001,0.003,0.037000000000000005,48.8,0.7,14.2,0.19,2.2,54.5,0.3,14.0,0.14,2.1,26.6,5.2,5.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,22.4
1348,16.0,48.1833333,20.4833333,48.1833333,0.399455,0.13000899999999999,0.123483,0.152815,1582.0,1592.0,11.1405405,12923.677786799999,112.8,1.0,17.862000000000002,0.05,0.42200000000000004,0.02,0.185,0.184,0.223,4412.0,0.001,0.455,0.312,0.111,0.693,0.006999999999999999,0.01,0.068,0.01,0.018000000000000002,0.426,0.001,0.002,0.003,0.774,0.0003,0.42,0.106,0.799,0.006,0.011000000000000001,0.067,0.01,0.013999999999999999,0.579,0.003,0.036000000000000004,53.3,0.4,10.9,0.19,2.2,55.6,0.6,7.7,0.12,2.1,26.9,4.4,4.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,24.6
1512,45.0,42.1833333,22.8,42.1833333,0.34519,0.11799809230239361,0.258826,0.12263099999999999,1584.0,1627.0,13.785836100000001,13657.8947368,112.5,1.0,19.304000000000002,0.05,0.373,0.02,0.077,0.40299999999999997,0.20858067856035825,5190.0,0.002,0.503,0.079,0.07400000000000001,0.657,0.006999999999999999,0.008,0.057999999999999996,0.009000000000000001,0.016,0.22899999999999998,0.001,0.002,0.003,0.76,0.0004,0.08,0.07400000000000001,0.867,0.006,0.011000000000000001,0.057999999999999996,0.01,0.009000000000000001,0.331,0.002,0.038,58.5,0.4,10.0,0.19,2.4,59.6,0.6,6.8,0.11,2.6,22.8,4.1,3.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.102,24.7
1514,47.0,49.533333299999995,33.3333333,49.533333299999995,0.34713,0.11799809230239361,0.320299,0.12006700000000001,1520.0,1616.0,11.4699647,14162.4,115.7,1.0,18.935,0.05,0.373,0.02,0.047,0.5,0.20858067856035825,7868.0,0.002,0.521,0.07400000000000001,0.092,0.624,0.006,0.009000000000000001,0.059000000000000004,0.006999999999999999,0.02,0.223,0.001,0.002,0.003,0.7709999999999999,0.0005,0.076,0.09300000000000001,0.885,0.004,0.011000000000000001,0.059000000000000004,0.008,0.013999999999999999,0.307,0.002,0.038,60.5,1.4,16.8,0.31,2.9,57.7,0.6,11.1,0.17,2.2,26.2,3.7,4.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.188,20.8
1515,29.0,45.9,20.3166667,45.9,0.39511,0.11799809230239361,0.24868,0.098148,1563.0,1596.0,10.195425,12870.221493000001,113.3,1.0,15.228,0.05,0.435,0.02,0.044000000000000004,0.38799999999999996,0.20858067856035825,4358.0,0.001,0.456,0.07400000000000001,0.102,0.649,0.006,0.009000000000000001,0.064,0.008,0.02,0.218,0.001,0.002,0.002,0.765,0.0002,0.076,0.10300000000000001,0.855,0.004,0.011000000000000001,0.064,0.009000000000000001,0.016,0.299,0.002,0.037000000000000005,59.8,0.8,11.8,0.35,2.7,62.2,0.5,4.7,0.1,2.7,22.7,3.8,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.078,22.1
1516,29.0,43.716666700000005,13.866666699999998,43.716666700000005,0.36343000000000003,0.11799809230239361,0.220214,0.101375,1582.0,1594.0,10.6368685,12245.192307700001,109.3,1.0,15.323,0.05,0.397,0.02,0.061,0.34299999999999997,0.20858067856035825,2830.0,0.001,0.473,0.07,0.106,0.657,0.006999999999999999,0.009000000000000001,0.066,0.009000000000000001,0.02,0.209,0.001,0.001,0.002,0.748,0.0004,0.07200000000000001,0.10300000000000001,0.8590000000000001,0.005,0.011000000000000001,0.064,0.009000000000000001,0.015,0.309,0.002,0.037000000000000005,55.5,1.8,11.9,0.47,2.5,58.3,0.5,8.9,0.12,2.7,21.9,4.1,3.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.078,22.5
